ds,y
2022-04-01,420
2022-04-02,1500
2022-04-03,480
2022-04-04,2500
2022-04-05,100
2022-04-07,1500
2022-04-08,350
2022-04-09,740
2022-04-10,640
2022-04-11,120
2022-04-12,260
2022-04-14,660
2022-04-15,75
2022-04-16,735
2022-04-17,1245
2022-04-18,240
2022-04-19,280
2022-04-20,740
2022-04-21,405
2022-04-22,280
2022-04-23,1005
2022-04-24,160
2022-04-25,180
2022-04-26,820
2022-04-27,220
2022-04-28,140
2022-04-29,160
2022-04-30,1715
2022-05-01,260
2022-05-02,400
2022-05-03,1105
2022-05-04,955
2022-05-05,1245
2022-05-06,800
2022-05-07,1280
2022-05-08,1355
2022-05-09,2335
2022-05-10,700
2022-05-11,80
2022-05-12,700
2022-05-13,885
2022-05-14,830
2022-05-15,1220
2022-05-16,1090
2022-05-17,140
2022-05-18,730
2022-05-19,260
2022-05-20,510
2022-05-21,1140
2022-05-22,2320
2022-05-23,120
2022-05-24,770
2022-05-25,1060
2022-05-26,550
2022-05-27,2050
2022-05-28,400
2022-05-29,220
2022-05-30,620
2022-05-31,440
2022-06-01,120
2022-06-02,160
2022-06-04,40
2022-06-05,200
2022-06-06,820
2022-06-07,425
2022-06-08,280
2022-06-09,520
2022-06-10,440
2022-06-11,1090
2022-06-12,650
2022-06-13,460
2022-06-14,50
2022-06-15,860
2022-06-16,660
2022-06-17,1140
2022-06-18,475
2022-06-19,940
2022-06-20,500
2022-06-22,455
2022-06-24,530
2022-06-25,1195
2022-06-26,745
2022-06-27,660
2022-06-28,760
2022-06-29,560
2022-06-30,2600
2022-07-01,1235
2022-07-02,1015
2022-07-03,460
2022-07-04,1025
2022-07-05,300
2022-07-06,100
2022-07-07,400
2022-07-08,450
2022-07-09,180
2022-07-10,1295
2022-07-11,1500
2022-07-12,810
2022-07-13,300
2022-07-14,895
2022-07-15,120
2022-07-16,500
2022-07-17,865
2022-07-18,675
2022-07-19,725
2022-07-20,360
2022-07-21,760
2022-07-22,145
2022-07-23,200
2022-07-24,740
2022-07-25,620
2022-07-26,1060
2022-07-27,1000
2022-07-29,350
2022-07-30,595
2022-07-31,810
2022-08-01,250
2022-08-02,680
2022-08-03,195
2022-08-04,525
2022-08-05,965
2022-08-06,160
2022-08-07,220
2022-08-08,580
2022-08-09,1750
2022-08-10,905
2022-08-12,1485
2022-08-13,1035
2022-08-14,1600
2022-08-15,1070
2022-08-16,580
2022-08-17,820
2022-08-18,220
2022-08-19,60
2022-08-20,860
2022-08-21,320
2022-08-22,1835
2022-08-23,300
2022-08-24,920
2022-08-25,300
2022-08-26,1165
2022-08-27,810
2022-08-28,855
2022-08-30,640
2022-08-31,1200
2022-09-01,940
2022-09-03,365
2022-09-04,780
2022-09-05,700
2022-09-06,560
2022-09-07,940
2022-09-08,990
2022-09-09,340
2022-09-10,50
2022-09-11,495
2022-09-12,575
2022-09-14,1660
2022-09-15,680
2022-09-16,140
2022-09-17,840
2022-09-18,800
2022-09-19,540
2022-09-20,1910
2022-09-21,2000
2022-09-22,460
2022-09-23,20
2022-09-24,280
2022-09-25,740
2022-09-27,555
2022-09-28,260
2022-09-29,220
2022-09-30,800
2022-10-01,1140
2022-10-02,1245
2022-10-03,865
2022-10-04,700
2022-10-05,640
2022-10-06,80
2022-10-07,990
2022-10-08,1360
2022-10-09,2580
2022-10-10,240
2022-10-11,2585
2022-10-12,640
2022-10-13,710
2022-10-14,1365
2022-10-15,280
2022-10-16,1040
2022-10-17,975
2022-10-18,965
2022-10-19,420
2022-10-20,670
2022-10-21,900
2022-10-22,885
2022-10-23,360
2022-10-24,1140
2022-10-26,335
2022-10-27,990
2022-10-28,380
2022-10-29,400
2022-10-30,875
2022-10-31,1450
2022-11-01,480
2022-11-02,1520
2022-11-03,700
2022-11-04,260
2022-11-05,1170
2022-11-06,1560
2022-11-07,400
2022-11-08,810
2022-11-09,20
2022-11-10,570
2022-11-11,500
2022-11-12,680
2022-11-13,990
2022-11-14,225
2022-11-15,1050
2022-11-16,240
2022-11-17,1260
2022-11-18,520
2022-11-19,1200
2022-11-20,300
2022-11-21,100
2022-11-22,960
2022-11-23,970
2022-11-24,740
2022-11-25,800
2022-11-26,990
2022-11-27,575
2022-11-28,1185
2022-11-29,1675
2022-11-30,450
2022-12-01,940
2022-12-02,1490
2022-12-03,550
2022-12-04,1765
2022-12-05,480
2022-12-07,545
2022-12-08,520
2022-12-09,970
2022-12-10,260
2022-12-11,600
2022-12-12,620
2022-12-13,1060
2022-12-14,1910
2022-12-15,400
2022-12-16,140
2022-12-17,1200
2022-12-18,200
2022-12-19,40
2022-12-20,100
2022-12-21,1320
2022-12-22,1220
2022-12-23,960
2022-12-24,500
2022-12-25,1530
2022-12-26,800
2022-12-27,725
2022-12-28,815
2022-12-29,930
2022-12-30,350
2022-12-31,520
2023-01-01,1080
2023-01-02,1265
2023-01-03,2005
2023-01-04,1470
2023-01-05,2430
2023-01-06,1570
2023-01-07,170
2023-01-10,740
2023-01-11,1125
2023-01-12,1100
2023-01-13,1195
2023-01-14,680
2023-01-15,320
2023-01-16,1820
2023-01-17,300
2023-01-18,585
2023-01-19,780
2023-01-20,1305
2023-01-21,935
2023-01-22,300
2023-01-23,570
